EXIT Chart of Bit-based Message Passing in MIMO Channel
Number of transmit antenna is 4
Number of receive antenna is 4
Maximum number of bits of simulation = 800000

Eb/No     I_a      I_e,fnd  I,e_bnd
10.000000 0.000000 0.268562 0.602920 0.705742
10.000000 0.099000 0.286536 0.629846 0.731481
10.000000 0.198000 0.308747 0.661529 0.761496
10.000000 0.297000 0.335782 0.697589 0.794113
10.000000 0.396000 0.364151 0.732720 0.825279
10.000000 0.495000 0.398427 0.771945 0.857947
10.000000 0.594000 0.438147 0.811567 0.889001
10.000000 0.693000 0.483973 0.851189 0.918230
10.000000 0.792000 0.537731 0.891447 0.946180
10.000000 0.891000 0.604879 0.930307 0.969938
10.000000 0.990000 0.721461 0.975326 0.992795
15.000000 0.000000 0.385189 0.761913 0.850563
15.000000 0.099000 0.415254 0.792184 0.874686
15.000000 0.198000 0.449167 0.824841 0.900010
15.000000 0.297000 0.487411 0.857388 0.923947
15.000000 0.396000 0.527473 0.886077 0.942944
15.000000 0.495000 0.571366 0.912780 0.960064
15.000000 0.594000 0.620456 0.937704 0.974048
15.000000 0.693000 0.672441 0.958966 0.985045
15.000000 0.792000 0.729133 0.976189 0.992828
15.000000 0.891000 0.792269 0.988896 0.997433
15.000000 0.990000 0.882579 0.998033 0.999824
Total elapsed time: 37826(sec)

